#
# 100 cosmologies on a sphere of radius 10% around fiducial cosmology
# First line is the fiducial cosmology
#
# omega_b omega_cdm h ln10^10A_s n_s
#
2.056941122860845433e-02 1.131102937959214405e-01 6.911337805589207184e-01 3.042600911288093180e+00 9.559341243168296698e-01
2.199821650371402287e-02 1.192187179598350605e-01 6.538527094610294688e-01 3.313768528779887035e+00 9.837438618349185759e-01
2.175008557477857776e-02 1.281879818734024123e-01 6.811683385435264304e-01 3.250268487710083143e+00 9.702026609148198810e-01
2.257189523459258995e-02 1.194729462641667822e-01 7.138742358206372485e-01 3.121966494590537877e+00 8.857490780388546092e-01
2.150491251019940112e-02 1.265089264604286889e-01 6.549416631336602013e-01 2.987438538275538846e+00 9.045431278194553393e-01
2.065125559542646191e-02 1.126446817128884809e-01 6.838848775052788209e-01 3.107355365681999881e+00 9.645725123083134234e-01
2.231012152165725085e-02 1.151835738615412941e-01 6.220056833409375319e-01 2.947162032697490552e+00 9.553434448291808767e-01
2.424463340442307296e-02 1.162220245954132675e-01 6.944482223774329777e-01 3.141101496297886708e+00 9.831476731483099751e-01
2.310817724768040454e-02 1.206507377681563381e-01 7.269444517873981937e-01 3.006078144635955685e+00 1.025253920903076654e+00
2.213349685937442135e-02 1.209027226556232820e-01 7.131238653354857737e-01 3.195175681312227844e+00 1.033306001845446076e+00
2.237509412503321804e-02 1.225602137151515364e-01 7.189434537675363224e-01 2.860121172825814018e+00 1.014344645905203901e+00
2.048722782562596711e-02 1.168813976232162127e-01 6.588375554563566938e-01 2.967078956460718953e+00 9.382042495468687626e-01
2.153614275443553258e-02 1.289212944199394362e-01 6.760481864793894680e-01 2.913187830869392148e+00 9.306584776435069539e-01
2.270885968322734760e-02 1.166020217485298077e-01 7.395193677404844346e-01 3.151391842542775823e+00 9.593345858186821395e-01
2.057145055100513889e-02 1.223986798292146794e-01 6.414203056755478638e-01 3.023009117822912817e+00 9.661901773010113104e-01
2.156013407912441004e-02 1.193807139465448836e-01 7.240854703848419449e-01 3.242368391033525032e+00 9.809888926636994855e-01
2.365440200530274581e-02 1.212062025078125965e-01 6.818215349841055817e-01 3.157534262545725667e+00 8.961224808045550327e-01
2.299888416313718500e-02 1.306980503958914408e-01 6.845490827449663973e-01 3.145981308008796162e+00 9.712637107412087634e-01
2.037324920606827655e-02 1.226499666708967817e-01 6.732836468041929479e-01 3.154537731935570744e+00 9.809610214411792484e-01
2.278964126014371150e-02 1.136289179060783472e-01 6.716224020741774492e-01 2.809034437218267399e+00 9.397578079786502725e-01
2.119997909517929921e-02 1.207791933082411479e-01 7.042817844725551835e-01 3.272730183919674296e+00 9.840302550958823780e-01
2.294110022290114445e-02 1.296075476773033142e-01 6.671522651324200970e-01 3.193236231500691247e+00 9.759988362341434076e-01
2.149166886087659767e-02 1.163994647718203657e-01 6.256630710688464436e-01 3.151040927122603197e+00 9.667111798958204494e-01
2.185038584290081853e-02 1.305958722286433005e-01 6.563757340853623168e-01 3.013077737337252149e+00 9.841406473905967012e-01
2.361091827487794836e-02 1.231252743195941080e-01 6.949297735161197309e-01 2.821277798960136973e+00 9.818059115727360009e-01
2.143724656296338432e-02 1.238492017214420648e-01 7.064781241984187110e-01 3.124700050192792400e+00 8.961919628267988047e-01
2.280667392413289127e-02 1.133242719245233093e-01 7.122156059739110923e-01 2.876932491257413904e+00 9.311433098111335793e-01
2.219674114100052276e-02 1.114224819783431741e-01 7.224332647714023503e-01 2.950278726638633220e+00 9.637270377469920879e-01
2.195368694435901116e-02 1.153470361934136879e-01 7.405981628014000062e-01 3.025792733545936919e+00 9.511885526313866857e-01
2.223092311245733477e-02 1.181716196153694692e-01 6.654677965392359340e-01 3.310275313504885020e+00 9.260303468396715587e-01
2.100702733020219995e-02 1.219489795630865764e-01 7.102502520085807181e-01 3.120662035104014631e+00 1.022191001460942550e+00
2.428468104033621594e-02 1.182402932496867121e-01 6.964298272028029979e-01 3.129001952446461399e+00 9.355988236694927629e-01
2.142798059351674889e-02 1.194663854730131924e-01 6.302618454777244583e-01 3.005013710002925276e+00 9.142641965503491841e-01
